NearestNeighbor	dH0	dS0	OligoType	InteractionType	Reference
rUrArC/rArCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArC/rArGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArC/rArUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrC/rArArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrC/rArCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrC/rArGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrC/rArUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrC/rArArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrC/rArCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrC/rArGrG	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrC/rArUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrC/rArArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrC/rArCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrC/rArGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrC/rArUrG	-8.9	-32.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArGrC	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArGrA	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArUrA	-3.9	-17.4	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArG/rArUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrG/rArUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArGrU	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrG/rArUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrG/rArUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrArU/rArUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrCrU/rArUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArGrG	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrGrU/rArUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rUrUrU/rArUrG	-3.9	-17.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrA/rUrGrU	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrA/rUrUrU	-3.9	-17.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArC/rUrArG	-5.5	-23.9	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrC/rUrArG	-5.5	-22.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrC/rUrGrG	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrUrC/rUrUrG	-12.3	-44.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArG/rUrArC	-5.5	-19.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArG/rUrGrC	-5.5	-17.1	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrArG/rUrUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrG/rUrArC	-5.5	-19.3	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrG/rUrGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrCrG/rUrUrC	-5.5	-21	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrG/rUrArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrG/rUrGrC	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rGrGrG/rUrUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
